1.03125 ,2803.5
2.07812 ,2790.5
3.14062 ,2804.25
4.1875 ,2806.25
5.28125 ,2808.75
6.3125 ,2807
7.375 ,2826
8.45312 ,2829
9.5 ,2834.5
10.5469 ,2850
11.625 ,2869.5
12.6562 ,2874.5
13.7344 ,2878
14.7812 ,2881.75
15.8594 ,2905.25
16.6719 ,2927
17.7188 ,2930.75
18.7812 ,2956
19.7969 ,2961.75
20.8594 ,2986.25
21.9219 ,3012
22.9688 ,3019.5
24 ,3046.5
25.0625 ,3079.75
26.1094 ,3103
27.125 ,3132
28.1875 ,3161.25
29.25 ,3195.5
30.2656 ,3226.25
77.3125 ,6704.25
78.3594 ,6704.25
79.4219 ,6113
80.4688 ,6109.5
81.5156 ,6003.25
84.7188 ,4351.5
87.8125 ,5621.5
88.8594 ,4471.25
93.1562 ,3069.25
94.1875 ,3131.5
99.3125 ,4813.25
266.938 ,2421.5
277.344 ,3190.25
278.391 ,3132
279.484 ,3127.5
280.391 ,3079
281.453 ,3052.75
282.484 ,3042.5
283.531 ,3014.75
284.594 ,3009
285.641 ,2987
286.672 ,2960.75
287.734 ,2956
288.766 ,2933.75
289.812 ,2928.25
290.875 ,2900.75
291.906 ,2887
292.984 ,2880.75
294.016 ,2876.75
295.062 ,2869.5
296.109 ,2850.25
297.141 ,2850
298.172 ,2828
299.234 ,2846.75
300.266 ,2860
301.344 ,2859
302.375 ,2858.25
303.391 ,2855.25
304.578 ,2842
305.594 ,2841.75
306.656 ,2858.75
307.734 ,2859
308.75 ,2858.75
309.812 ,2860.25
310.859 ,2862.75
311.906 ,2865.5
312.969 ,2897.5
314 ,2880.5
315.047 ,2902.5
316.109 ,2904.5
317.141 ,2912.5
318.266 ,2497
319.297 ,2457.75
320.391 ,2422.75
321.453 ,2390.75
322.484 ,2389.25
323.531 ,2389.75
329.938 ,2616.25
331.031 ,2659.75
332.094 ,2549.75
333.156 ,2554.25
334.094 ,3192.75
335.172 ,3135.25
336.219 ,3126.25
337.266 ,3076.25
338.359 ,3071.5
339.406 ,3042
340.469 ,3012.5
341.516 ,2988
342.578 ,2982.25
343.641 ,2959
344.688 ,2933.75
345.766 ,2909
346.797 ,2907.5
347.875 ,2886.5
348.953 ,2880.75
350 ,2877.5
351.047 ,2870.75
352.094 ,2868.75
353.234 ,2853.25
354.297 ,2832.25
355.375 ,2828.25
356.438 ,2826.25
357.5 ,2824
358.891 ,2807
359.984 ,2790
